"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,3/31/2026 0:00:00,2,0,0,0,0,9402043,2473814,0,13376472,0,9402043,2473814,0,0,0,0,8,0,0,0,0,122025,0,0,0,0,0,0,0,0,157271,0,28078,0,0,0,0,0,0,0,0,0,0,0,9339,0,0,0,0,0,0,0,0,60540,994,3744,49399,0,2200,4709,0,0,0,0,0,2383,4138394,0,0,1926051,0,0,0,0,0,861048,0,0,0,0,162,371,0,1251,80,0,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,185349,0,23257,50720,0,31762,0,2361,0,0,0,0,0,0,0,0,65304,1154880,0,0,0,0,0,0,0,0,0,0,1499370,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,51205,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2026 0:00:00,7,0,0,0,0,215371400,2260972,1478107,288269062,0,219300400,30335972,1478107,0,0,0,259,0,0,0,0,122025,0,0,0,0,0,0,0,0,4053853,0,282315,0,0,0,0,0,0,0,0,0,0,0,391986,0,0,0,0,0,0,0,0,2107444,21432,203811,1207363,99284,189530,88423,0,0,0,0,12900,18163,73434021,0,0,39535867,0,0,0,0,20608079,29052937,0,0,-31027,533709,1309,13979,406,30925,213,86,77674,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,0,0,0,0,0,0,4336168,0,1453642,933934,0,8901,0,556993,221980,0,7000000,0,0,0,0,0,3977859,31561386,0,0,0,0,0,0,0,0,0,0,32653339,1133,0,0,0,472100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,6149079,0,0,0,0,0,0,0,0,0,31560000,0,0,8757688,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2026 0:00:00,11,0,0,0,0,60671201,1780870,1691243,70566623,0,60671201,1780870,1691243,0,0,0,128,0,0,0,0,32025,0,0,0,0,0,0,0,0,844805,0,195760,0,0,0,0,0,0,0,0,0,0,0,322346,0,0,0,0,0,0,0,0,489117,24152,129517,178385,19294,206165,184728,0,0,0,0,3058,8995,4607213,0,0,4124900,0,0,0,0,2961505,10138526,0,0,0,1465,268,5835,146,12281,623,345,19498,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,1040565,0,611875,117471,0,140542,0,180000,12501,0,0,0,0,0,0,0,1159387,2976592,0,0,0,0,0,0,0,0,-570034,0,6716830,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,7048227,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2026 0:00:00,12,0,0,0,0,752178895,259476670,31435467,1282088093,0,796757691,290489670,31435467,0,0,0,136,0,0,0,0,122025,0,0,0,0,0,0,0,0,16751793,0,803802,0,0,0,0,0,0,0,0,0,0,0,1751127,0,0,0,0,0,0,0,0,3965186,181491,326687,2486916,227850,767243,337052,0,13770,0,0,51000,18856,305828302,0,0,335267359,0,0,0,0,10245850,25318851,0,0,-15527,228258,9468,36675,2530,78888,174,1340,129096,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1,0,0,0,0,0,0,17555595,0,3675153,8973178,0,2936842,0,0,0,0,15000000,0,0,0,0,0,7350270,96127328,0,0,0,0,0,0,0,0,-646461,0,123567015,964,0,47962237,0,699699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20654,600016857,0,0,0,0,0,27000000,7000000,0,34000000,282840354,0,0,654614,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2026 0:00:00,14,0,0,0,0,7841131,0,0,9158411,0,7841131,0,0,0,0,0,2,0,0,0,0,42026,0,0,0,0,0,0,0,0,53041,0,36973,0,0,0,0,0,0,0,0,0,0,0,2757,0,0,0,0,0,0,0,0,50631,190,900,14241,353,26292,4263,0,0,0,0,0,-195,1457452,0,0,906036,0,0,0,0,116352,170909,0,0,0,0,68,329,6,1058,0,0,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,90014,0,9179,8070,0,-5552,0,40341,24339,0,0,0,0,0,0,0,89167,931795,0,0,0,0,0,0,0,0,0,0,1287527,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2026 0:00:00,16,0,0,0,0,7348683,0,0,10613824,0,7348683,0,0,0,0,0,1,0,0,0,0,92025,0,0,0,0,0,0,0,0,23040,0,73113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17546,0,4645,2080,1034,440,5580,0,0,0,0,0,677,810968,0,0,155249,0,0,0,0,0,301546,0,0,0,0,0,0,0,1693,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,96153,0,0,35401,0,28750,2857,0,0,0,0,0,0,0,0,0,30,1288825,0,0,0,0,0,0,0,0,0,0,3263096,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2026 0:00:00,17,0,0,0,0,293571201,3524515,1512089,360897116,0,293571201,3524515,1512089,0,0,0,13,0,0,0,0,92025,0,0,0,0,0,0,0,0,3409212,0,1000248,0,0,0,0,0,0,0,0,0,0,0,79441,0,0,0,0,0,0,0,0,807940,31350,99682,461748,52204,269853,315269,0,28684,0,0,12521,34294,40659162,0,0,10930044,0,0,0,0,12459412,14142809,0,0,0,0,4747,12237,1311,23186,0,1473,42954,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4409460,0,508592,1381894,0,1302613,0,0,469596,0,0,0,0,0,0,0,794362,23695406,0,0,0,0,0,0,0,0,166506,0,60660579,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35082631,0,0,179789,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2026 0:00:00,19,0,0,0,0,17099601,2795993,0,22279688,0,17099601,2795993,0,0,0,0,1,0,0,0,0,122025,0,0,0,0,0,0,0,0,82696,0,133017,0,0,0,0,0,0,0,0,0,0,0,27651,0,0,0,0,0,0,0,0,76242,102,9527,27586,1440,4217,49741,0,0,0,0,986,9461,1081287,0,0,1963771,0,0,0,0,315513,228337,0,0,0,0,142,605,0,1142,25,0,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,215713,0,27651,34329,0,35733,0,111464,0,0,0,0,0,0,0,0,237614,2486799,0,0,0,0,0,0,0,0,0,0,2330937,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,20116,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2026 0:00:00,21,0,0,0,0,1209718028,55835857,2813823,1484146817,0,1224210028,60904857,2813823,0,0,0,901,0,0,0,0,62025,0,0,0,0,0,0,0,0,23498188,0,3584387,0,0,0,0,0,0,0,0,0,0,0,3778629,0,0,0,0,0,0,0,0,8718871,197876,1210670,1381494,433976,486907,1760642,0,0,0,0,49772,108742,427534351,0,0,38118264,0,0,0,0,0,44902742,0,0,0,95219,12570,56541,2933,224123,0,5715,321443,0,0,0,0,0,0,0,0,0,0,0,0,0,307,24,0,0,0,0,0,0,27082575,0,5330926,10212707,0,1195091,0,5359,39720,0,0,0,0,0,0,1450816759,7108339,23936439,0,0,0,0,0,0,0,0,298167,0,137188066,944,0,396806609,0,613725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19913,387998521,0,0,0,0,0,20000000,0,26040925,46040925,597465669,0,0,90695781,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9596811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2026 0:00:00,29,0,0,0,0,139000102,1264287,652719,159858668,0,139000102,1264287,652719,0,0,0,78,0,0,0,0,92025,0,0,0,0,0,0,0,0,1312628,0,544178,0,0,0,0,0,0,0,0,0,0,0,325301,0,0,0,0,0,0,0,0,576361,36731,53101,183094,79022,93170,412117,0,17491,0,0,4690,45577,8236392,0,0,15004855,0,0,0,0,3105087,3448436,0,0,0,0,952,7959,315,13456,28,255,22965,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,1856806,0,325756,335673,0,240535,0,66000,40977,0,0,0,0,0,0,0,859184,10362944,0,0,0,0,0,0,0,0,0,0,17763788,1111,0,0,0,12026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,83000,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3/31/2026 0:00:00,30,0,0,0,0,49831243,556708,0,57648117,0,49831243,556708,0,0,0,0,3,0,0,0,0,102025,0,0,0,0,0,0,0,0,340802,0,201003,0,0,0,0,0,0,0,0,0,0,0,15844,0,0,0,0,0,0,0,0,163476,1284,25346,44423,6046,4291,135355,0,0,0,0,0,2559,4876316,0,0,1863904,0,0,0,0,575919,1673998,0,0,0,103494,487,1461,57,2671,0,371,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,541805,0,119338,184557,0,93806,0,0,0,0,0,0,0,0,0,0,275265,7630948,0,0,0,0,0,0,0,0,0,0,7055814,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,645308,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2026 0:00:00,31,0,0,0,0,53093173,694998,1818,66830506,0,53093173,694998,1818,0,0,0,24,0,0,0,0,62025,0,0,0,0,0,0,0,0,430034,0,286558,0,0,0,0,0,0,0,0,0,0,0,38777,0,0,0,0,0,0,0,0,273526,31824,24761,50806,4631,7913,424868,0,0,0,0,2738,5702,10219874,0,0,4202935,0,0,0,0,968941,3789937,0,0,0,43166,290,2098,93,4248,172,0,6901,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,716592,0,201792,156016,0,-182903,0,655000,0,0,0,0,0,0,0,0,743875,6200124,0,0,0,0,0,0,0,0,-650062,0,13417086,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144000,0,0,1803178,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3/31/2026 0:00:00,32,0,0,0,0,7974419562,371798304,13865298,9199845535,0,7974519562,371798304,13865298,0,0,0,1865,0,0,0,0,122025,0,0,0,0,0,0,0,0,92473965,0,10054331,0,0,0,0,0,0,0,0,0,0,0,9738933,0,0,0,0,0,0,0,0,41568292,507322,4648438,8282399,2505002,4833177,10806370,0,0,0,0,148105,4351192,193528410,0,0,1233632470,0,0,0,0,185408760,230236220,0,0,4500,0,56500,423070,13843,691200,12227,66832,1263673,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,56,0,0,0,0,0,0,102528296,0,24773908,32012227,0,11018436,0,396162,7,0,0,0,0,0,0,9082256974,45827376,868862855,0,0,0,0,0,0,0,0,0,0,804620284,886,0,3355369154,0,3879984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42165,817504674,0,0,0,0,0,0,0,0,0,3030115196,0,0,28723026,1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3/31/2026 0:00:00,33,0,0,0,0,55742948,183899,39502,62727692,0,55742948,183899,39502,0,0,0,50,0,0,0,0,122025,0,0,0,0,0,0,0,0,578002,0,130893,0,0,0,0,0,0,0,0,0,0,0,67908,0,0,0,0,0,0,0,0,307543,3175,42972,54271,12300,46621,244030,0,0,0,0,0,15105,5349517,0,0,1454160,0,0,0,0,2034576,1945268,0,0,0,0,155,3785,104,5503,0,166,9713,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,708895,0,124473,42811,0,64540,0,80000,0,0,0,0,0,0,0,0,634290,2792126,0,0,0,0,0,0,0,0,-293755,0,6139339,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,105133,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3/31/2026 0:00:00,35,0,0,0,0,462514604,2705481,1611424,526570715,0,462514604,2705481,1611424,0,0,0,478,0,0,0,0,32025,0,0,0,0,0,0,0,0,5710116,0,1106188,0,0,0,0,0,0,0,0,0,0,0,607200,0,0,0,0,0,0,0,0,2815049,38952,383404,280552,280906,215402,1028687,0,0,0,0,0,136119,99754457,0,0,7440891,0,0,0,0,9785050,9171509,0,0,0,0,3787,23082,997,37920,734,3567,70087,0,0,0,0,0,0,0,0,0,0,0,0,0,121,8,0,0,0,0,0,0,6816304,0,1674851,1569508,0,866876,0,179536,323631,0,0,0,0,0,0,0,3731777,81214421,0,0,0,0,0,0,0,0,-1887657,0,58216207,1106,0,0,0,637300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791,34691953,0,0,0,0,0,0,0,0,0,51990526,0,0,6158124,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3/31/2026 0:00:00,41,0,0,0,0,191689434,316235,46177,210054331,0,191939434,316235,46177,0,0,0,14,0,0,0,0,62025,0,0,0,0,0,0,0,0,1540090,0,631785,0,0,0,0,0,0,0,0,0,0,0,721520,0,0,0,0,0,0,0,0,1324889,14429,99955,463886,141691,65488,187489,0,-2143,0,0,12147,29548,46161954,0,0,16691238,0,0,0,0,0,2027641,0,0,0,10824,860,10326,282,13692,1878,261,27300,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,2171875,0,759859,193853,0,237671,0,775363,197440,0,0,0,0,0,0,0,627287,60170592,0,0,0,0,0,0,0,0,0,0,18845068,897,0,0,0,68296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,5857754,0,0,0,0,0,0,0,0,0,36424005,0,0,1546074,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3/31/2026 0:00:00,43,0,0,0,0,801057205,37835166,6476608,938321193,0,801160554,37835166,6476608,0,0,0,89,0,0,0,0,122025,0,0,0,0,0,0,0,0,9525945,0,1266203,0,0,0,0,0,0,0,0,0,0,0,1217443,0,0,0,0,0,0,0,0,4416556,48753,853041,1332024,320617,262407,972238,0,0,0,0,41419,112187,142564308,0,0,157711149,0,0,0,0,12929902,23236785,0,0,-7883,18571,7354,33453,1161,34195,154,1944,78263,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,10792148,0,2608332,2989239,0,1711999,0,4450,1381251,0,0,0,0,0,0,0,6402974,72980038,0,0,0,0,0,0,0,0,0,0,95588179,1019,0,0,0,422310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10483,287563694,0,0,0,0,0,0,0,0,0,283649519,0,0,7913449,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,3/31/2026 0:00:00,46,0,0,0,0,278139154,3651588,593547,331815074,0,278139154,3651588,593547,0,0,0,67,0,0,0,0,122025,0,0,0,0,0,0,0,0,2850293,0,1028209,0,0,0,0,0,0,0,0,0,0,0,200898,0,0,0,0,0,0,0,0,906931,13788,138474,637323,80940,147819,91579,0,0,0,0,10892,40955,49890821,0,0,5291538,0,0,0,0,2189336,2006572,0,0,-68450,0,968,12576,455,20800,0,1019,35818,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,0,0,0,0,0,3878502,0,458121,930924,0,1336998,0,0,69257,0,0,0,0,0,0,0,702893,68458361,0,0,0,0,0,0,0,0,0,0,44315872,1336,0,21069216,0,283521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2892,37845114,0,0,0,0,0,0,0,0,0,28140885,0,0,1251257,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3/31/2026 0:00:00,49,0,0,0,0,2361945,0,0,7518520,0,2361945,0,0,0,0,0,23,0,0,0,0,112025,0,0,0,0,0,0,0,0,50574,0,25776,0,0,0,0,0,0,0,0,0,0,0,2271,0,0,0,0,0,0,0,0,54518,66,0,10026,0,324,8923,0,0,0,0,630,734,1174113,0,0,1713774,0,0,0,0,229974,288549,0,0,0,0,0,0,0,1391,24,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,76350,0,4381,1286,0,4224,0,60272,0,0,0,0,0,0,0,0,0,971289,0,0,0,0,0,0,0,0,0,0,5034148,6696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3/31/2026 0:00:00,54,0,0,0,0,11019038,68593,0,13542942,0,11019038,68593,0,0,0,0,0,0,0,0,0,82025,0,0,0,0,0,0,0,0,76717,0,72822,0,0,0,0,0,0,0,0,0,0,0,2332,0,0,0,0,0,0,0,0,72954,0,2841,34602,0,553,360,0,0,0,0,0,1263,1372683,0,0,1482155,0,0,0,0,0,900364,0,0,0,2887,27,286,0,1457,0,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,149539,0,5219,3896,0,24161,17910,0,0,0,0,0,0,0,0,0,200,2274415,0,0,0,0,0,0,0,0,0,0,2463546,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3/31/2026 0:00:00,57,0,0,0,0,61260427,2790111,1266522,77233744,0,61260427,2790111,1266522,0,0,0,66,0,0,0,0,92025,0,0,0,0,0,0,0,0,414016,0,384982,0,0,0,0,0,0,0,0,0,0,0,30919,0,0,0,0,0,0,0,0,235754,3268,29071,266558,9947,28685,22503,0,0,0,0,5907,7809,10374834,0,0,974830,0,0,0,0,1770806,1398661,0,0,0,39586,493,2278,291,4566,0,255,7883,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,798998,0,143215,195013,0,134544,0,239307,0,0,0,0,0,0,0,0,595917,5772755,0,0,0,0,0,0,0,0,0,0,12457996,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,4213198,0,0,0,0,0,0,0,0,0,6900000,0,0,477042,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
