"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,3/31/2026 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9132562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34182,34182,9098380,0,-34182,-34182,0,0,0,0,0,155547,0,104562,104562,0,0,0,0,0,0,0,13376472,70380,70380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13376472,0,0,34182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11875857,11875857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2026 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,18895143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179144219,0,0,0,0,0,0,0,1249036,0,0,0,0,0,0,0,0,2752467,2752467,215429594,0,-2752467,-2752467,0,0,0,0,0,18198366,0,2339888,2339888,0,0,0,0,0,0,0,288269062,-412579,-412579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288269062,0,0,2752467,100,18301057,2023000,77,4925841,162800,6,1013988,0,16,777311,68850,0,0,0,25018197,2254650,120,6524929,330200,106,6245680,75000,0,0,0,0,0,0,12770609,405200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,37788806,2659850,7552101,219110479,251114479,32004000,475,8987359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2026 0:00:00,11,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,3007798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22008365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249675,1249675,31269413,0,-1249675,-1249675,0,0,0,0,0,9795599,0,579108,579108,0,0,0,0,0,0,0,70566623,-670567,-670567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70566623,0,0,1249675,7,636198,280000,59,3658116,0,0,0,0,0,0,0,0,0,0,4294314,280000,113,6204541,750555,0,0,0,0,0,0,2,11868,0,6216409,750555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,10510723,1030555,0,64143314,64143314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2026 0:00:00,12,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,5550830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687627919,0,0,0,0,0,0,0,1059863,0,0,0,0,0,0,0,0,4154940,4154940,1113916336,0,-4154940,-4154940,0,0,0,0,0,59043329,0,10120156,10120156,0,0,0,0,0,0,0,1282088093,5965216,5965216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282088093,0,0,4154940,396,101785114,10381985,917,97372317,20569112,0,0,0,328,106877449,376310,435,25827482,1970000,331862362,33297407,0,0,0,0,0,0,0,0,0,1765,97521132,5593975,97521132,5593975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3841,429383494,38891382,252053992,1043091032,1118682828,75591796,3,1059863,0,0,0,0,0,0,0,0,235,0,0,0,0,1,113967625,888,0,0,0,0,0,0,0,0,0
16,3/31/2026 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43654,43654,3530493,0,-43654,-43654,0,0,0,0,0,154615,0,80491,80491,0,0,0,0,0,0,0,9158411,36837,36837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9158411,0,0,43654,4,362661,362661,1,62821,62821,6,228258,228258,0,0,0,0,0,0,653740,653740,5,103085,103085,5,116529,116259,0,0,0,0,0,0,219614,219344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,873354,873084,0,7841131,7841131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2026 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,7949857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30588,30588,1280740,0,-30588,-30588,0,0,0,0,0,94372,0,65179,65179,0,0,0,0,0,0,0,10613824,34591,34591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10613824,0,0,30588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7348683,7348683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2026 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,41529819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89458178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560685,1560685,237812229,0,-1560685,-1560685,0,0,0,0,0,9592299,0,2750354,2750354,0,0,0,0,0,0,0,360897115,1189669,1189669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360897115,0,0,1560685,31,8143839,1861500,30,3961508,0,0,0,0,0,0,0,5,678874,0,12784221,1861500,944,65125244,2297117,0,0,0,0,0,0,1809,72005271,10050242,137130515,12347359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819,149914736,14208859,89883683,298607805,298607805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5082631,0,186429
26,3/31/2026 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4379507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45107,45107,5375897,0,-45107,-45107,0,0,0,0,0,416915,0,182886,182886,0,0,0,0,0,0,0,22279689,137779,137779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22279689,0,0,45107,0,0,0,14,1041497,0,0,0,0,0,0,0,0,0,0,1041497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1041497,0,0,19895594,19895594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2026 0:00:00,21,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,80235919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563285587,0,0,0,0,0,0,0,146496269,0,0,0,0,0,0,-1684850,0,24589259,24589259,1241485942,-1684850,-24589259,-24589259,0,0,0,0,0,131380178,0,11692556,11692556,0,0,0,0,0,0,0,1484146817,-12896703,-12896703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484146817,0,0,24589259,1129,217768181,16700631,651,46954293,1298020,3,188027,0,0,0,0,291,75893082,2948800,340803583,20947451,1328,62567675,20311437,0,0,0,0,0,0,3022,151237236,20311437,213804911,40622874,4,118363,0,0,0,0,0,0,0,9,159264,0,277627,0,6437,554886121,61570325,194846573,1268367708,1287928708,19561000,10,23853399,0,0,34,7985739,34,0,34,7985739,3020,0,0,1150,14945302,1,116069624,782,0,0,0,0,0,0,23903849,0,1863476
42,3/31/2026 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,25406000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30131716,0,0,0,0,0,0,0,264682,0,0,0,0,0,0,0,0,519601,519601,95975487,0,-519601,-519601,0,0,0,0,0,4627053,0,1244781,1244781,0,0,0,0,0,0,0,159858668,725180,725180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159858668,0,0,519601,106,25489826,5384795,92,7594427,0,0,0,0,0,0,0,1,108632,0,33192885,5384795,256,15239433,817600,47,1692703,0,0,0,0,270,15973669,1553000,32905805,2370600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,66098690,7755395,17775004,140917108,140917108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33057
47,3/31/2026 0:00:00,30,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10225791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116913,116913,21000587,0,-116913,-116913,0,0,0,0,0,3338317,0,488795,488795,0,0,0,0,0,0,0,57648117,371882,371882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57648117,0,0,116913,0,0,0,0,0,0,54,5372439,0,0,0,0,0,0,0,5372439,0,1,11237,0,0,0,0,0,0,0,105,5508033,635439,5519270,635439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,10891709,635439,0,50387951,50387951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2026 0:00:00,31,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,8455000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21225398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425558,425558,22182485,0,-425558,-425558,0,0,0,0,0,9273021,0,486647,486647,0,0,0,0,0,0,0,66830505,61089,61089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66830505,0,0,425558,13,219457,0,19,335658,0,0,0,0,0,0,0,0,0,0,555115,0,0,0,0,0,0,0,21,827529,0,0,0,0,827529,0,5,181870,0,0,0,0,0,0,0,0,0,0,181870,0,58,1564514,0,278907,53789989,53789989,0,27,398808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3/31/2026 0:00:00,32,Subm,0,0,0,8433564,0,8037400,0,396162,2,0,0,0,0,846995242,0,846995242,290272531,544089410,1488861,0,396162,10748278,0,0,0,120685340,3546118694,3208776365,326172757,11169572,-104100847,768672282,765998123,2674159,1924954974,-21188,1924933786,7795133,0,1483593492,424700957,8844204,763750621,21188,763771809,21188,0,761829110,1921511,-16584493,0,68579408,68579408,6934917163,0,6934917163,-60763087,0,3208776365,1809766249,1963697762,13439874,503242899,0,503242899,194634732,289638219,0,18969948,0,0,0,0,9199845535,9199845535,1324343702,545281671,3210265226,1809766249,2266634425,13836036,18969948,10748278,0,0,0,5438571816.95,109056334.2,1605132613,1357324686.75,2266634425,20754054,47424870,32244834,0,0,0,17815833.5,17815833.5,65831869.85,25209682,278309.25,40343878.6,32781376.2,32781376.2,3243986.8,3243986.8,0,0,0,0,0,0,0,114941224,114768670,0,0,172554,0,0,0,0,0,0,0,0,234614290.35,114768670,0,0,172554,28453668.8,278309.25,90941088.3,0,105411165.43,0,0,34510.8,14226834.4,208731.93,90941088.3,0,9434459825.35,5543982982.38,1337,68579408,2498,530617995,70916325,4532,323148232,8442810,6670,1759361652,19665159,1173,377703261,38422055,6574,434602214,37944000,3425433354,175390349,2636,56958909,0,0,0,0,4929,187016501,0,13723,628797719,89271300,872773129,89271300,2,41171,0,4,135957,0,0,0,0,0,0,0,177128,0,42741,4298383611,264661649,1253401399,8360083164,8360183164,100000,0,0,0,0,272,72900191,272,0,272,72900191,21655,0,0,0,0,0,1037984062,1128,0,0,0,0,0,0,1062395686,0,0
53,3/31/2026 0:00:00,33,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11171789,0,0,0,0,0,0,0,7452337,0,0,0,0,0,0,0,0,355550,355550,38422413,0,-355550,-355550,0,0,0,0,0,9101862,0,510572,510572,0,0,0,0,0,0,0,62727691,155022,155022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62727691,0,0,355550,29,5972226,0,31,3424747,0,0,0,0,0,0,0,10,2780119,0,12177092,0,23,1271924,160000,0,0,0,0,0,0,90,6704821,735000,7976745,895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,20153837,895000,17617322,55966349,55966349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3/31/2026 0:00:00,35,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,56194290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149472979,0,0,0,0,0,0,0,45504275,0,0,0,0,0,0,-1541106,0,4796303,4796303,325160131,-1541106,-4796303,-4796303,0,0,0,0,0,45431096,0,5532035,5532035,0,0,0,0,0,0,0,526570715,735732,735732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526570715,0,0,4796303,73,16432726,11296881,240,21430934,8000,4,689972,0,26,8125857,3530652,111,6380208,1340000,53059697,16175533,402,25370650,803500,0,0,0,0,0,0,953,55007727,5001000,80378377,5804500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809,133438074,21980033,70034499,466831509,466831509,0,2224,15355526,0,0,69,15064386,46,0,0,0,0,0,0,0,0,1,0,0,0,0,1420058,26,0,0,16000000,0,0
77,3/31/2026 0:00:00,41,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,28929667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67583712,0,0,0,0,0,0,0,17042628,0,0,0,0,0,0,-3387917,0,976902,976902,112321490,-3387917,-976902,-976902,0,0,0,0,0,8005295,0,1810083,1810083,0,0,0,0,0,0,0,210054331,833181,833181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210054331,0,0,976902,18,6612904,1920000,38,4966454,331500,11,5627625,0,14,2801114,2003772,4,107657,0,20115754,4255272,57,2238432,90000,0,0,0,0,0,0,89,2929950,1614054,5168382,1704054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,25284136,5959326,0,192051846,192301846,250000,214,7053378,4,3769336,33,9167007,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3/31/2026 0:00:00,43,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,110567454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361760781,0,0,0,0,0,0,0,62260692,0,0,0,0,0,0,0,0,2985156,2985156,662808972,0,-2985156,-2985156,0,0,0,0,0,83276756,0,7137440,7137440,0,0,0,0,0,0,0,938321194,4152284,4152284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938321194,0,0,2985156,320,65598344,2603157,456,55054687,752184,201,43911260,680000,85,23258104,718815,0,0,0,187822395,4754156,309,15640773,827800,0,0,0,0,0,0,725,38309487,5969300,53950260,6797100,2,51628,0,0,0,0,1,29727,0,0,0,0,81355,0,2099,241854010,11551256,114104150,845368979,845472328,103349,240,1888813,0,0,3,386600,3,0,0,0,0,0,0,0,0,1,37204792,396,0,0,0,0,0,0,16301505,0,0
82,3/31/2026 0:00:00,46,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,46962922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59945720,0,0,0,0,0,0,0,18774854,0,0,0,0,0,0,0,0,2134153,2134153,195592530,0,-2134153,-2134153,0,0,0,0,0,20098368,0,2440084,2440084,0,0,0,0,0,0,0,331815074,305931,305931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331815074,0,0,2134153,164,34286394,1976800,240,20585154,450000,6,2638085,0,9,7468956,3020000,288,16755182,448528,81733771,5895328,253,20298822,1586000,49,1120727,0,0,0,0,378,15852789,618190,37272338,2204190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,119006109,8099518,45036013,282384289,282384289,0,20,11759782,0,0,0,0,0,0,0,0,137,0,0,139,425833,0,0,0,0,0,0,0,0,0,1241706,0,0
90,3/31/2026 0:00:00,49,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,154728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3406410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53676,53676,3352734,0,-53676,-53676,0,0,0,0,0,95769,0,27481,27481,0,0,0,0,0,0,0,7518520,-26195,-26195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7518520,0,0,53676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361945,2361945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3/31/2026 0:00:00,54,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,5997910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3934763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39076,39076,5065179,0,-39076,-39076,0,0,0,0,0,205238,0,120177,120177,0,0,0,0,0,0,0,13542942,81101,81101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13542942,0,0,39076,11,795107,0,6,374385,0,0,0,0,0,0,0,0,0,0,1169492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1169492,0,161631,11087631,11087631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3/31/2026 0:00:00,57,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,42343914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14850757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129976,129976,23283542,0,-129976,-129976,0,0,0,0,0,5138616,0,633527,633527,0,0,0,0,0,0,0,77233744,503551,503551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77233744,0,0,129976,19,3415816,911500,10,904015,0,0,0,0,0,0,0,0,0,0,4319831,911500,87,3781995,185500,0,0,0,0,0,0,9,460935,0,4242930,185500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,8562761,1097000,0,65317060,65317060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
